PopID,HHType
0,0
0,1
0,2
0,3
0,99
10,1
11,1
12,2
13,0
13,1
13,2
13,99
14,1
15,0
15,1
15,2
15,3
15,99
16,0
16,1
16,2
16,3
16,99
17,0
17,1
17,2
17,3
17,99
18,0
18,1
18,2
18,3
18,99
19,0
19,1
19,2
19,3
19,99
20,0
20,1
20,2
20,3
20,99
21,0
21,1
21,2
21,3
21,99
22,0
22,1
22,2
22,3
22,99
23,0
23,1
23,2
23,3
23,99
24,0
24,1
24,2
24,3
24,99
25,0
25,1
25,2
25,3
25,99
26,0
26,1
26,2
26,3
26,99
27,0
27,1
27,2
27,3
27,99
28,0
28,1
28,2
28,3
28,99
29,0
29,1
29,2
29,3
29,99
30,0
30,1
30,2
30,3
30,99
31,0
31,1
31,2
31,3
31,99
32,0
32,1
32,2
32,3
32,99
33,0
33,1
33,2
33,3
33,99
34,0
34,1
34,2
34,3
34,99
35,0
35,1
35,2
35,3
35,99
36,0
36,1
36,2
36,3
36,99
37,0
37,1
37,2
37,3
37,99
38,0
38,1
38,2
38,3
38,99
39,0
39,1
39,2
39,3
39,99
40,0
40,1
40,2
40,3
40,99
41,0
41,1
41,2
41,3
41,99
42,0
42,1
42,2
42,3
42,99
43,0
43,1
43,2
43,3
43,99
44,0
44,1
44,2
44,3
44,99
45,1
46,3
47,2
48,0
48,1
48,2
48,3
48,99
50,0
50,1
50,2
50,99
51,2
52,3
53,0
53,1
53,2
53,3
53,99
54,0
54,1
54,2
54,3
54,99
55,0
55,1
55,2
55,3
55,99
56,0
56,1
56,2
56,3
56,99
57,0
57,1
57,2
57,3
57,99
58,0
58,1
58,2
58,3
58,99
59,0
59,1
59,2
59,3
59,99
60,0
60,1
60,2
60,3
60,99
61,0
61,1
61,2
61,3
61,99
62,0
62,1
62,2
62,3
62,99
63,0
63,1
63,2
63,3
63,99
64,0
64,1
64,2
64,3
64,99
65,0
65,1
65,2
65,3
65,99
66,0
66,1
66,2
66,3
66,99
67,0
67,1
67,2
67,3
67,99
68,0
68,1
68,2
68,3
68,99
69,0
69,1
69,2
69,3
69,99
70,0
70,1
70,2
70,3
70,99
71,0
71,1
71,2
71,3
71,99
72,0
72,1
72,2
72,3
72,99
73,0
73,1
73,2
73,3
73,99
74,0
74,1
74,2
74,3
74,99
75,0
75,1
75,2
75,3
75,99
76,0
76,1
76,2
76,3
76,99
77,0
77,1
77,2
77,3
77,99
78,0
78,1
78,2
78,3
78,99
79,0
79,1
79,2
79,3
79,99
80,0
80,1
80,2
80,3
80,99
81,0
81,1
81,2
81,3
81,99
82,0
82,1
82,2
82,3
82,99
83,0
83,1
83,2
83,3
83,99
84,0
84,1
84,2
84,3
84,99
85,0
85,1
85,2
85,3
85,99
86,0
86,2
86,3
86,99
87,0
87,2
87,3
87,99
88,0
88,2
88,3
88,99
89,0
89,2
89,3
89,99
90,0
90,1
90,2
90,99
91,0
91,1
91,2
91,99
92,0
92,1
92,2
92,99
93,0
93,1
93,2
93,99
94,0
94,1
94,2
94,99
95,0
95,1
95,2
95,99
96,0
96,1
96,2
96,99
97,0
97,1
97,2
97,3
97,99
1015,1
1018,1
1019,1
1020,1
1021,1
1022,1
1023,1
1024,1
1025,1
1026,1
1027,1
1028,1
1029,1
1030,1
1031,1
1032,1
1033,1
1034,1
1035,1
1036,1
1037,1
1038,1
1039,1
1040,1
1041,1
1042,1
1043,1
1044,1
1048,1
1115,1
1118,1
1119,1
1120,1
1121,1
1122,1
1123,1
1124,1
1125,1
1126,1
1127,1
1128,1
1129,1
1130,1
1131,1
1132,1
1133,1
1134,1
1135,1
1136,1
1137,1
1138,1
1139,1
1140,1
1141,1
1142,1
1143,1
1144,1
1148,1
1190,1
1191,1
1215,2
1218,2
1219,2
1220,2
1221,2
1222,2
1223,2
1224,2
1225,2
1226,2
1227,2
1228,2
1229,2
1230,2
1231,2
1232,2
1233,2
1234,2
1235,2
1236,2
1237,2
1238,2
1239,2
1240,2
1241,2
1242,2
1243,2
1244,2
1248,2
1290,2
1291,2
1315,0
1315,1
1315,2
1315,99
1318,0
1318,1
1318,2
1318,99
1319,0
1319,1
1319,2
1319,99
1320,0
1320,1
1320,2
1320,99
1321,0
1321,1
1321,2
1321,99
1322,0
1322,1
1322,2
1322,99
1323,0
1323,1
1323,2
1323,99
1324,0
1324,1
1324,2
1324,99
1325,0
1325,1
